"code","lat","long","name"
"AMS",52.367,4.904,"Amsterdam"
"ESB",39.933,32.859,"Ankara"
"ATH",37.983,23.727,"Athens"
"BFS",54.597,-5.930,"Belfast"
"BCN",41.387,2.168,"Barcelona"
"BER",52.520,13.405,"Berlin"
"BRN",46.948,7.447,"Bern"
"BIO",43.263,-2.935,"Bilbao"
"BRU",50.847,4.357,"Brussels"
"OTP",47.497,19.040,"Bucharest"
"BUD",59.329,18.068,"Budapest"
"CWL",51.483,-3.168,"Cardiff"
"CGN",50.937,6.96,"Cologne"
"CPH",55.676,12.568,"Copenhagen"
"ORK",51.898,-8.475,"Cork"
"DUB",53.349,-6.260,"Dublin"
"EDI",55.953,-3.188,"Edinburgh"
"FLR",43.7696,11.255,"Florence"
"FRA",50.110,8.682,"Frankfurt"
"NCE",43.254,6.637,"French Riviera"
"FNC",32.650,-16.908,"Funchal"
"GIB",36.140,-5.353,"Gibraltar"
"GOT",57.708,11.974,"Gothenburg"
"HAM",53.548,9.987,"Hamburg"
"HEL",60.169,24.938,"Helsinki"
"IBZ",39.020,1.482,"Ibiza"
"IEV",50.450,30.523,"Kyiv"
"VDB",61.115,10.466,"Lillehammer"
"LIS",38.722,-9.139,"Lisbon"
"LHR",51.507,-0.127,"London"
"MAD",40.416,-3.703,"Madrid"
"PMI",39.695,3.017,"Mallorca"
"MAN",53.480,-2.242,"Manchester"
"MRS",43.296,5.369,"Marseille"
"LPA",27.760,-15.586,"Maspalomas"
"MXP",45.464,9.190,"Milan"
"MUC",48.135,11.582,"Munich"
"NAP",40.851,14.268,"Naples"
"OSL",59.913,10.752,"Oslo"
"CDG",48.856,2.352,"Paris"
"PRG",50.075,14.437,"Prague"
"RKV",64.146,-21.942,"Reykjavik"
"RIX",56.879,24.603,"Riga"
"FCO",41.902,12.496,"Rome"
"FLW",39.453,-31.127,"Santa Cruz das Flores"
"TFN",28.463,-16.251,"Santa Cruz de Tenerife"
"SKL",57.273,-6.215,"Skye"
"SOF",42.697,23.321,"Sofia"
"ARN",59.329,18.068,"Stockholm"
"TLL",59.437,24.753,"Tallinn"
"VIE",48.208,16.373,"Vienna"
"WAW",52.229,21.012,"Warsaw"
"QQY",53.961,-1.07,"York"
"ZRH",47.376,8.541,"Zurich"
